Identificador de URL,Nombre,Categorías,Nombre de propiedad 1,Valor de propiedad 1,Nombre de propiedad 2,Valor de propiedad 2,Nombre de propiedad 3,Valor de propiedad 3,Precio,Precio promocional,Peso,Alto,Ancho,Profundidad,Stock,SKU,Código de barras,Mostrar en tienda,Envío sin cargo,Descripción,Tags,Título para SEO,Descripción para SEO,Marca,Producto Físico,MPN (Número de pieza del fabricante),Sexo,Rango de edad,Costo
remera-algodon-personalizada,Remera de algodón personalizada,"Indumentaria > Remeras, Personalizados",Talle,S,Color,Blanco,,,24900,,0.2,2,30,25,30,TX-REMERAALGOD-S-BLANCO,,NO,NO,"<p>Remera de algodón peinado 24/1, cuello reforzado y costuras dobles. La base que usamos para la mayoría de los trabajos del taller: aguanta lavados sin deformarse y toma bien tanto el estampado como el bordado.</p><p><strong>Personalizala como quieras:</strong> tu logo, un nombre, el escudo del club o un diseño propio. Elegí la técnica al finalizar la compra y mandanos el archivo por WhatsApp.</p><ul><li>Técnicas disponibles: bordado, DTF, serigrafía o vinilo textil</li><li>Talles S al XXL — ver tabla de talles en la ficha</li><li>Producción: 5 a 7 días hábiles desde la aprobación del diseño</li><li>Desde 10 unidades, precio por cantidad</li></ul>","remera, personalizada, algodon, bordado, estampado, REVISAR PRECIO",Remeras personalizadas con tu logo | Taxnara Diseños,Remeras de algodón peinado personalizadas con bordado o estampado. Envíos a todo el país desde Catamarca. Pedidos por unidad o por cantidad.,Taxnara Diseños,SI,,,,
remera-algodon-personalizada,Remera de algodón personalizada,"Indumentaria > Remeras, Personalizados",Talle,S,Color,Negro,,,24900,,0.2,2,30,25,30,TX-REMERAALGOD-S-NEGRO,,NO,NO,,,,,Taxnara Diseños,SI,,,,
remera-algodon-personalizada,Remera de algodón personalizada,"Indumentaria > Remeras, Personalizados",Talle,S,Color,Gris melange,,,24900,,0.2,2,30,25,30,TX-REMERAALGOD-S-GRISME,,NO,NO,,,,,Taxnara Diseños,SI,,,,
remera-algodon-personalizada,Remera de algodón personalizada,"Indumentaria > Remeras, Personalizados",Talle,M,Color,Blanco,,,24900,,0.2,2,30,25,30,TX-REMERAALGOD-M-BLANCO,,NO,NO,,,,,Taxnara Diseños,SI,,,,
remera-algodon-personalizada,Remera de algodón personalizada,"Indumentaria > Remeras, Personalizados",Talle,M,Color,Negro,,,24900,,0.2,2,30,25,30,TX-REMERAALGOD-M-NEGRO,,NO,NO,,,,,Taxnara Diseños,SI,,,,
remera-algodon-personalizada,Remera de algodón personalizada,"Indumentaria > Remeras, Personalizados",Talle,M,Color,Gris melange,,,24900,,0.2,2,30,25,30,TX-REMERAALGOD-M-GRISME,,NO,NO,,,,,Taxnara Diseños,SI,,,,
remera-algodon-personalizada,Remera de algodón personalizada,"Indumentaria > Remeras, Personalizados",Talle,L,Color,Blanco,,,24900,,0.2,2,30,25,30,TX-REMERAALGOD-L-BLANCO,,NO,NO,,,,,Taxnara Diseños,SI,,,,
remera-algodon-personalizada,Remera de algodón personalizada,"Indumentaria > Remeras, Personalizados",Talle,L,Color,Negro,,,24900,,0.2,2,30,25,30,TX-REMERAALGOD-L-NEGRO,,NO,NO,,,,,Taxnara Diseños,SI,,,,
remera-algodon-personalizada,Remera de algodón personalizada,"Indumentaria > Remeras, Personalizados",Talle,L,Color,Gris melange,,,24900,,0.2,2,30,25,30,TX-REMERAALGOD-L-GRISME,,NO,NO,,,,,Taxnara Diseños,SI,,,,
remera-algodon-personalizada,Remera de algodón personalizada,"Indumentaria > Remeras, Personalizados",Talle,XL,Color,Blanco,,,24900,,0.2,2,30,25,30,TX-REMERAALGOD-XL-BLANCO,,NO,NO,,,,,Taxnara Diseños,SI,,,,
remera-algodon-personalizada,Remera de algodón personalizada,"Indumentaria > Remeras, Personalizados",Talle,XL,Color,Negro,,,24900,,0.2,2,30,25,30,TX-REMERAALGOD-XL-NEGRO,,NO,NO,,,,,Taxnara Diseños,SI,,,,
remera-algodon-personalizada,Remera de algodón personalizada,"Indumentaria > Remeras, Personalizados",Talle,XL,Color,Gris melange,,,24900,,0.2,2,30,25,30,TX-REMERAALGOD-XL-GRISME,,NO,NO,,,,,Taxnara Diseños,SI,,,,
remera-algodon-personalizada,Remera de algodón personalizada,"Indumentaria > Remeras, Personalizados",Talle,XXL,Color,Blanco,,,24900,,0.2,2,30,25,30,TX-REMERAALGOD-XXL-BLANCO,,NO,NO,,,,,Taxnara Diseños,SI,,,,
remera-algodon-personalizada,Remera de algodón personalizada,"Indumentaria > Remeras, Personalizados",Talle,XXL,Color,Negro,,,24900,,0.2,2,30,25,30,TX-REMERAALGOD-XXL-NEGRO,,NO,NO,,,,,Taxnara Diseños,SI,,,,
remera-algodon-personalizada,Remera de algodón personalizada,"Indumentaria > Remeras, Personalizados",Talle,XXL,Color,Gris melange,,,24900,,0.2,2,30,25,30,TX-REMERAALGOD-XXL-GRISME,,NO,NO,,,,,Taxnara Diseños,SI,,,,
